region,office,search,address,phone1,phone2
খুলনা বিভাগ,মেহেরপুর অফিস,meherpur,"পুরাতন বাসস্ট্যান্ড, মহিলা বিষয়ক অধিদপ্তর সংলগ্ন, সদর, মেহেরপুর।",01958-587509,01958-587510
খুলনা বিভাগ,বেনাপোল অফিস,benapol,"হোল্ডিং নং-৩৭৫, বেনাপোেল মেইন রোড, বি জি বি ক্যাম্পের বিপরীত পাশে, বেনাপোেল।",01958-587748,01958-587749
খুলনা বিভাগ,চুয়াডাঙ্গা অফিস,cuadanha chuadanga,"হোল্ডিং-২১৪৭-০০, শহীদ আবুল কাশেম সড়ক সিঙ্গার শো-রুমের পশ্চিম পার্শ্বে, চুয়াডাঙ্গা।",01958-587052,01958-587053
খুলনা বিভাগ,মাগুরা অফিস,magura,"নাহার কমপ্লেক্স, বায়নার মোেড়, যশোর রোেড, মাগুরা।",01733-385049,01733-385042
খুলনা বিভাগ,ঝিনাইদাহ অফিস,jhinaidah,"হোসেন শহীদ সোহরাওয়ার্দী সড়ক, উজির আলী হাই স্কুলের সামনে, ঝিনাইদাহ।",01733-384813,01733-384811
খুলনা বিভাগ,কুষ্টিয়া অফিস,kustia,"আর.এ খান রোড, ইনফিনিটি শপিং মল এর বিপরীতে, কুষ্টিয়া।",01733-385040,01733-385041
খুলনা বিভাগ,সাতক্ষীরা অফিস,satkhira,"ইটাগাছা মাইক্রো স্ট্যান্ড মোড়, পুরাতন ন্যাশনাল হসপিটাল, সাতক্ষীরা।",01733-385016,01733-385017
খুলনা বিভাগ,বাগেরহাট অফিস,bagerhat,"১৬৯, বেড়ীবাধ রোড, সদর থানার পূর্ব পার্শ্বে, বাগেরহাট।",01958-587427,01958-587428
খুলনা বিভাগ,নওগাঁ অফিস,nouga,"চক মুক্তার সরকারী গ্রন্থাগারের পার্শ্বে, দয়ালের মোড়, নওগাঁ।",01733-385076,01733-385077
খুলনা বিভাগ,জয়পুরহাট অফিস,joypurhat,"বাটার মোড় থেকে ১০০ গজ দক্ষিণে, বিহারীপাড়া জামালগঞ্জ রোড, জয়পুরহাট।",01958-587622,01958-587623
রাজশাহী বিভাগ,রাজশাহী অফিস,rajshahi,"৬৮, খানসামার চক, বোয়ালিয়া, ঘোড়ামারা, রাজশাহী।",01733-385021,01733-385022
রাজশাহী বিভাগ,বানেশ্বর অফিস,baneshor,"নাটোর রোড, বানেশ্বর বাজার, মিঠুন হোন্ডার সামনে, বানেশ্বর।",01733-385093,01733-385092
রাজশাহী বিভাগ,নাটোর অফিস,natore,"চক্রামপুর, পুরাতন যুব উন্নয়ন অফিসের বিপরীতে, নাটোর।",01733-384886,01733-385034
রাজশাহী বিভাগ,চাঁপাইনবাবগঞ্জ অফিস,chapai capai,"শান্তির মোড় রোড, চাইনিজ রেস্টুরেন্ট আল-নাহিদ এর সামনে, চাঁপাইনবাবগঞ্জ।",01733-384898,01733-384857
রাজশাহী বিভাগ,পাবনা অফিস,pabna,"হাজী মোহাম্মদ মহসিন রোড, সরকারী গার্লস্ স্কুল এর সামনে, পাবনা।",01733-385038,01733-385039
রাজশাহী বিভাগ,সিরাজগঞ্জ অফিস,sirajganj,"এস বি ফজলুল হক রোড, মিরপুর, সিরাজগঞ্জ।",01733-384825,01733-384849
রাজশাহী বিভাগ,ঈশ্বরদী অফিস,ishordi,"৪২৭, পাবনা রোড, থানার পশ্চিম পার্শ্বে, রেলগেইট সংলগ্ন, ঈশ্বরদী।",01733-385188,01733-385189
রাজশাহী বিভাগ,বগুড়া অফিস,bogura,"গোহাইল রোড, সূত্রাপুর (মেশিন পট্টি), বগুড়া।",01733-384830,01733-384829
রাজশাহী বিভাগ,রানীরহাট অফিস (বগুড়া),ranirhat bogura,"নাটোর রাজশাহী হাইওয়ে রোড, রানীরহাট এর উত্তর পার্শ্বে, এ.জে.আর বগুড়া ওয়ান ডে হাব, বগুড়া।",01958-587656,01958-587657
রংপুর বিভাগ,রংপুর অফিস,rongpur rangpur,"এস.এম.সি রোড, গুপ্তপাড়া পূজামন্ডপের পার্শ্বে, রংপুর।",01733-384831,01733-384832
রংপুর বিভাগ,গাইবান্ধা অফিস,gaibandha,"ডিবি রোড, পলাশ পাড়া, গাইবান্ধা-রংপুর বাসস্ট্যান্ডের পশ্চিম পার্শ্বে, মন্ডল ভূসির সামনে, গাইবান্ধা।",01958-587401,01958-587402
রংপুর বিভাগ,সৈয়দপুর অফিস,saiyadpur soiyodpur saidpur,"দিনাজপুর রোড, পাট গোডাউন/সি.আর.রোড, সৈয়দপুর।",01733-385095,01733-385096
রংপুর বিভাগ,কুড়িগ্রাম অফিস,kurigram,"গণির উদ্দিন সুপার মার্কেট, ওয়ালটন প্লাজার গলি, ঘোষপাড়া, কুড়িগ্রাম।",01958-587397,01958-587398
রংপুর বিভাগ,গোবিন্দগঞ্জ অফিস,gobindopur,"দিনাজপুর রোড, (পশ্চিম চার মাথা) গোবিন্দগঞ্জ, গাইবান্ধা",01733-385097,01733-385098
রংপুর বিভাগ,দিনাজপুর অফিস,dinajpur,"কোতয়ালী থানার পশ্চিমে, ক্ষেত্রী পাড়া বকুল তলা মোড়, দিনাজপুর।",01733-384816,01733-384817
